,Tinh thành,Phần Trăm
0,hà nội,21.818181818181817
1,ho chi minh,18.181818181818183
2,binh duong,14.545454545454545
3,đà nẵng,7.2727272727272725
4,da nang,5.454545454545454
5,đồng nai,3.6363636363636362
6,hai phong,3.6363636363636362
7,thanh hóa,3.6363636363636362
8,hoa binh,3.6363636363636362
9,bac giang,1.8181818181818181
10,hà tĩnh,1.8181818181818181
11,bình thuận,1.8181818181818181
12,bắc ninh,1.8181818181818181
13,thái nguyên,1.8181818181818181
14,phú yên,1.8181818181818181
15,bình dương,1.8181818181818181
16,ha noi,1.8181818181818181
17,cần thơ,1.8181818181818181
18,ninh thuận,1.8181818181818181
